0     main
1     if
2     then
3     while
4     do
5     static
6     int
7     double
8     struct
9     break
10    else
11    long
12    switch
13    case
14    typedef
15    char
16    return
17    const
18    float
19    short
20    continue
21    for
22    void
23    default
24    sizeof
25    do
26    >=
27    >
28    <=
29    <>
30    <
31    =
32    +
33    -
34    *
35    /
36    (
37    )
38    :=
39    :
40    ;
41    #
42    空格



35    /
42    空格
7     double
42    空格
var   EFGHIJKLMNOPQRSTUVWXYZ456789case
31    =
31    =
var   struct6789
40    ;
int   345678923456789
40    ;
var   FGHIJKLMNOPQRSTUVWXYZ6789
34    *
42    空格
int   789
42    空格
var   typedefVWXYZ3456789KLMNOPQRSTUVWXYZ
41    #
var   EFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ4567897899RSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   STUVWXYZswitch89
32    +
int   456789
var   QRSTUVWXYZdo
42    空格
10    else
36    (
var   MNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
var   IJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
32    +
32    +
39    :
42    空格
31    =
int   89
var   CDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
42    空格
33    -
var   longGHIJKLMNOPQRSTUVWXYZchar
27    >
36    (
var   typedef0123456789
42    空格
int   345678923456789
26    >=
40    ;
var   charmain
39    :
6     int
40    ;
30    <
int   123456789789789
var   JKLMNOPQRSTUVWXYZconst
42    空格
var   PQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
34    *
var   doubleQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ
26    >=
16    return
42    空格
int   89
var   JKLMNOPQRSTUVWXYZ
34    *
21    for
37    )
20    continue
39    :
42    空格
var   STUVWXYZ
37    )
var   XYZABCDEFGHIJKLMNOPQRSTUVWXYZOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZfloat789VWXYZABCDEFGHIJKLMNOPQRSTUVWXYZTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ123456789caseYZ
42    空格
29    <>
28    <=
42    空格
